12.7.2015 2:31:09 - parsing products
12.7.2015 2:32:03 - preuzeti proizvodi
12.7.2015 2:33:50 - 0 - Could not find file 'c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\eweXslt.xslt'.
12.7.2015 2:35:58 - parsing products
12.7.2015 2:36:12 - preuzeti proizvodi
12.7.2015 2:37:54 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT08063_v.jpg
12.7.2015 2:37:59 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT08063_1.jpg
12.7.2015 2:38:02 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT08063_2.jpg
12.7.2015 2:38:05 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT08063_3.jpg
12.7.2015 2:39:29 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06134_v.jpg
12.7.2015 2:39:29 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06134_1.jpg
12.7.2015 2:39:30 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06134_2.jpg
12.7.2015 2:39:30 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06134_3.jpg
12.7.2015 2:39:41 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07758_v.jpg
12.7.2015 2:39:41 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07758_1.jpg
12.7.2015 2:39:41 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07758_2.jpg
12.7.2015 2:39:51 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06788_v.jpg
12.7.2015 2:39:52 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06788_1.jpg
12.7.2015 2:39:53 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06788_2.jpg
12.7.2015 2:39:53 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06788_3.jpg
12.7.2015 2:40:00 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07372_v.jpg
12.7.2015 2:40:01 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07372_1.jpg
12.7.2015 2:40:01 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07372_2.jpg
12.7.2015 2:40:02 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07372_3.jpg
12.7.2015 2:40:11 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07563_v.jpg
12.7.2015 2:40:12 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07563_1.jpg
12.7.2015 2:40:12 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07563_2.jpg
12.7.2015 2:40:12 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07563_3.jpg
12.7.2015 2:40:21 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07347_v.jpg
12.7.2015 2:40:21 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07347_1.jpg
12.7.2015 2:40:21 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07347_2.jpg
12.7.2015 2:40:22 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07347_3.jpg
12.7.2015 2:40:32 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07236_v.jpg
12.7.2015 2:40:33 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07236_1.jpg
12.7.2015 2:40:33 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07236_2.jpg
12.7.2015 2:40:34 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07236_3.jpg
12.7.2015 2:40:42 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07065_v.jpg
12.7.2015 2:40:43 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07065_1.jpg
12.7.2015 2:40:43 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07065_2.jpg
12.7.2015 2:40:43 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07065_3.jpg
12.7.2015 2:40:51 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07528_v.jpg
12.7.2015 2:40:51 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07528_1.jpg
12.7.2015 2:40:52 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07528_2.jpg
12.7.2015 2:40:52 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07528_3.jpg
12.7.2015 2:41:01 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07759_v.jpg
12.7.2015 2:41:01 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07759_1.jpg
12.7.2015 2:41:02 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07759_2.jpg
12.7.2015 2:41:11 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07202_v.jpg
12.7.2015 2:41:12 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07202_1.jpg
12.7.2015 2:41:23 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06895_v.jpg
12.7.2015 2:41:23 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06895_1.jpg
12.7.2015 2:41:23 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06895_2.jpg
12.7.2015 2:41:24 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06895_3.jpg
12.7.2015 2:41:33 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06066_v.jpg
12.7.2015 2:41:33 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06066_1.jpg
12.7.2015 2:41:33 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06066_2.jpg
12.7.2015 2:41:34 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT06066_3.jpg
12.7.2015 2:41:45 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07244_v.jpg
12.7.2015 2:41:45 - c:\!dealStudio\Web sajtovi\eshop v2\eshopv2\eshopv2\images/NOT07244_1.jpg
